Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
GP002,"Belut, goreng",G,P,11.2,417,25.9,19.4,32,0,0.84,0.872,0.0049,0.071,0.2177,0.0003,0,0.0002,0
GP003,"Cumi-cumi, goreng",G,P,54.2,265,40.6,10.1,0,0,0.062,0.27,0.0027,0.086,0.0819,0,0.0001,0,0
GP004,"Ikan asin, kering",G,P,40,193,42,1.5,0,0,0.2,0.3,0,0,0,0,0,0,0
GP005,"Ikan bandeng presto, masakan",G,P,45.3,296,17.1,20.3,11.3,0,1.422,0.659,0.0019,0,0,0,0.0001,0,0.069
GP006,Ikan baung bakar,G,P,69.8,144,17.8,5.8,5.2,0,0.018,0.169,0,0.168,0.236,0.0001,0,0,0
GP007,Ikan Belida bakar,G,P,68.2,128,18,3,7.2,0,0.058,0.134,0,0.293,0.198,0.0001,0.0018,0.0002,0
GP008,"Ikan cakalang asap,mentah",G,P,56.9,204,34.2,5.6,1.9,0,0.014,0.399,0.0013,0.176,0.588,0.0003,0.0005,0.0001,0
GP009,"Ikan cakalang asin, mentah",G,P,41.7,198,36.5,2.2,5.5,0,0.236,0.346,0.0037,4.304,0.3021,0,0.0001,0,0
GP010,"Ikan calo/ peda, mentah",G,P,71.3,81,11.4,1.9,3.8,0,0.743,0.174,0.0226,0,0,0,0,0,0
GP011,"Ikan Gabus asap, mentah",G,P,26.4,261,38.1,2.3,21.9,0,2.51,1.84,0.0029,0.32,0.41,0.0004,0.0001,0.0001,0
GP012,"Ikan Gabus, kering",G,P,24,268,58,4,0,0,0.015,0.1,0.0001,0,0,0,0.0001,0,0
GP013,"Ikan gete, goreng",G,P,44.7,267,23.1,19.4,0.2,0,2.34,1.24,0.0008,0.59,0.44,0.0001,0,0,0
GP014,"Ikan hiu, kering",G,P,23.1,298,46.3,3.6,20.2,0,0.335,0.846,0.0025,0.957,1.457,0.0005,0.0008,0.0001,0
GP015,"Ikan katombo, asin",G,P,44.7,162,31.7,2.8,0.3,0,0.279,0.609,0.0046,4.393,0.3422,0.0028,0.0001,0,0
GP016,"Ikan kayu, kering",G,P,23.1,302,70.7,1.9,0.4,0,0.313,0.022,0.0041,0.345,1.045,0,0.0014,0,0
GP017,Ikan Lais bakar,G,P,69.4,147,17.5,6.5,5.4,0,0.054,0.194,0.0001,0.142,0.209,0,0,0,0
GP018,"Ikan lomak asin, mentah",G,P,21.6,258,40.3,2.3,18.9,0,0.14,0.279,0.0023,6.227,0.4851,0.0023,0.0001,0.0003,0
GP019,Ikan Mas pepes,G,P,57.5,209,15.2,11.3,11.8,0.5,0.686,0.53,0.0061,0.074,0.2767,0.0001,0.0001,0.0001,0
GP020,Ikan mujahir goreng,G,P,44.7,416,46.9,23.9,0,0,0.346,0.654,0.0009,0.054,0.2789,0,0.0001,0.0001,0
GP021,Ikan Mujahir pepes,G,P,73.7,121,21.7,2.8,0.8,0,0.083,0.248,0.0016,0.058,0.2658,0,0,0.0001,0
GP022,"Ikan mujahir, dendeng, mentah",G,P,15.2,582,68.3,15.2,37.2,0,3.258,1.699,0.0043,0,0,0,0.0003,0,0
GP023,"Ikan Papuyu, bakar",G,P,66.6,152,17.6,6.1,6.7,0,0.244,0.227,0.0034,0.32,0.224,0.0002,0,0,0
GP024,"Ikan Patin, bakar",G,P,70.3,144,17.5,6.3,4.3,0,0.191,0.232,0.0014,0.379,0.23,0.0001,0,0,0
GP025,"Ikan peda banjar, mentah",G,P,46,156,28,4,2,0,0.174,0.316,0.0031,0.059,0.3688,0,0.0001,0.0001,0
GP026,"Ikan pepetek, mentah",G,P,176,32,4.4,2,0,28.6,0.2,0.001,0.079,0.001,0,0,0.0001,0.0024,0
GP027,"Ikan Pindang banjar, mentah",G,P,59,157,28,4.2,1.8,0,0.05,0.1,0.001,0,0,0,0.0001,0,0
GP028,"Ikan Pindang benggol, mentah",G,P,57,170,31,4.2,0,0,0.05,0.1,0.001,0,0,0,0.0001,0,0
GP029,"Ikan Pindang layang, mentah",G,P,60,153,30,2.8,0,0,0.06,0.2,0.003,0,0,0,0.0001,0,0
GP030,"Ikan Pindang selar, mentah",G,P,60,142,27,3,0,0,0.06,0.2,0.003,0,0,0,0.0001,0,0
GP031,"Ikan sale, mentah",G,P,8.5,534,40.2,39.3,4.9,2,0.199,1.244,0.0027,0.673,0.673,0.0003,0,0.0005,0
GP032,"Ikan sale lais, mentah",G,P,12.4,415,61.3,17.6,2.9,0,0.258,0.919,0.007,0.381,0.488,0.0176,0,0.0001,0
GP033,"Ikan saluang, kering, mentah",G,P,33.6,284,34.1,9.9,14.6,0,1.426,1.103,0.0095,1.767,0.263,0.0013,0.0005,0,0
GP034,"Ikan sanggang, masakan",G,P,42.6,240,21.7,7.7,20.7,0,0.159,0.362,0.0098,2.041,0.159,0.0015,0.0005,0,0
GP035,"Ikan selar kuning, cue, mentah",G,P,59,138,27,3.3,0,0,0.05,0.1,0.002,0,0,0,0.0001,0,0
GP036,"Ikan selar, kering, mentah",G,P,43,194,38,3.5,0,0,0.02,0.2,0.001,0,0,0,0,0,0
GP037,"Ikan sepat, kering, mentah",G,P,30,289,38,14,0,0,0.04,0.1,0.0007,0,0,0,0,0,0
GP038,"Ikan sunu, asin, mentah",G,P,34.7,199,34.1,3.8,7.1,0,0.094,0.092,0.0022,0.377,0.057,0.0001,0.0015,0.0001,0
GP039,"Ikan, tepung, mentah",G,P,4.3,316,60.1,6.5,22.4,0,3.196,1.976,0.0166,0,0,0,0,0,0
GP040,"Ikan Teri nasi, kering, mentah",G,P,34.5,144,32.5,0.6,0,0,1,1,0.003,0.312,0,0,0.0001,0,0
GP041,"Ikan Teri, bubuk, mentah",G,P,15,277,60,2.3,1.8,0,1.209,1.225,0.003,0,0,0,0.0001,0,0
GP042,"Ikan teri, kering, mentah",G,P,37.8,170,33.4,3,0,0,1.2,1.5,0.0036,0,0,0,0.0002,0,0
GP043,"Ikan Teri, kering, tawar, mentah",G,P,16.7,331,68.7,4.2,0,0,2.381,1.5,0.0234,0,0,0,0.0001,0,0
GP044,"Ikan Teri, tepung, mentah",G,P,5.2,347,48.8,6.4,19.6,0,4.608,1.2,0.0186,0,0,0,0.0011,0,0
GP045,"Kerang, asap, mentah",G,P,9.3,393,38.9,13.3,29.4,0,0.42,0.41,0.0085,0.16,0.05,0.0006,0.0003,0.0017,0
GP046,"Kerang, dendeng, mentah",G,P,18.3,357,41.1,10,25.6,0,0.217,0.904,0.0052,0,0,0,0.0003,0,0
GP047,"Rebon, kering, mentah",G,P,21.6,299,59.4,3.6,3.2,0,2.306,0.625,0.0214,0,0,0,0.0001,0,0
GP048,"Rebung laut, mentah",G,P,18.2,320,7.2,4.2,63.3,0,0.24,0.57,0.0066,0.02,1.04,0.0015,0,0,0
GP049,Sardines dalam kaleng,G,P,47.1,338,21.1,27,1,0,0.354,0.434,0.0035,0,0,0,0.0001,0,0
GP050,"Teripang, dendeng, mentah",G,P,12.5,462,39.1,32.4,3.5,0,0.499,0.616,0.0964,0.315,0.4025,0,0.0014,0,0
GP051,"Udang kering, mentah",G,P,14.9,278,62.6,4.1,2.2,0,0.76,0.51,0.0052,0.54,0.36,0.0024,0,0,0
GP052,"Udang papay, mentah",G,P,24.5,273,47.8,3.8,12.5,0,1.109,0.789,0.0024,0.651,0.802,0.0026,0,0,0
GP053,Abon haruwan,G,P,11.6,513,23.7,37,21.3,0,0.025,0.025,0.0005,0.061,0.015,0,0,0,0
GP054,Abon ikan,G,P,6.4,435,27.2,20.2,36.1,0,0,0,0,0,0,0,0,0.0008,0
GP055,"Betok wadi, masakan",G,P,69.2,145,16.3,7,4.1,0,0.405,0.523,0.0018,0.069,0.203,0.001,0.0002,0,0
GP056,"Bou ninahu ndamate, masakan",G,P,79.5,79,6.3,1,1.1,0,0,0,0,0.067,0,0,0.0001,0,0
GP057,"Bouiki ninahu nggaluku, masakan",G,P,73.9,94,7.8,2.2,10.8,0,0,0,0,0.058,0.1794,0,0.0005,0,0
GP058,Cakalang asar (asap),G,P,64.3,155,20.1,3.8,10.2,0,0.02,0.24,0.0021,0.09,0.39,0.0003,0,0.0007,0
GP059,"Dendeng belut, goreng, masakan",G,P,8.2,382,55.7,14.1,8,0,1.069,0.654,0.0154,0,0,0,0.0005,0,0
GP060,"Dendeng mujahir, goreng, masakan",G,P,6.5,598,74.3,26.9,9.2,0,1.957,1.447,0.0074,0,0,0,0.0002,0,0
GP061,Fillet o-fish,G,P,51,270,12.3,15.9,19.3,0.2,0.239,0.272,0.0018,0.439,0,0,0.0006,0,0
GP062,"Gete kuah asam,masakan",G,P,80.1,75,8.2,2,6,0,1.62,0.88,0.0008,0.26,0.15,0.0001,0,0,0
GP063,"Gulai asam keueung, masakan",G,P,86,52,10,0.5,1.8,0,0.062,0.102,0.0003,0.332,0.141,0,0.0002,0.0003,0
GP065,"Gulai ikan, masakan",G,P,75.7,106,16.5,3.3,2.5,0,0.306,0.196,0.0048,0.743,0,0,0.0003,0,0
GP064,"Gulai ikan paya, masakan",G,P,72.1,148,10,9.8,5,0,0.103,0.082,0.0007,0.525,0.256,0.0001,0.0003,0,0
GP066,"Gulai keumamah, masakan",G,P,81.4,110,5.9,8.2,3.2,0,0.032,0.096,0.001,0.335,0.121,0.0002,0.0003,0,0
GP067,"Gulai tiram, masakan",G,P,73.1,132,9,7.2,7.8,0,0.053,0.134,0.0037,0.285,0.133,0.0011,0.0003,0.0001,0
GP068,"Gurame asem manis, masakan",G,P,63.1,192,12.7,10.1,12.7,0,0.283,0.169,0.0011,0,0,0,0,0,0
GP069,"Ikan asar merah, masakan",G,P,69.2,146,17.7,5.9,5.6,0,0.1,0.24,0.004,0.17,0.31,0.0003,0,0,0
GP070,"Jambal goreng, masakan",G,P,13.4,286,48.5,9.2,2.3,0,0.207,0.457,0.0033,0,0,0,0.0004,0,0
GP071,"Jukku pallu kaloa, masakan",G,P,69.4,15,15.2,4.3,8.8,0,0.04,0.17,0.0011,0.605,0.153,0.0006,0.0003,0.0001,0
GP072,"Kaholeo, masakan",G,P,11.2,413,28.7,19.8,29.8,0,0.909,1.291,0,0,1.171,0.0001,0.0013,0,0
GP073,Lawara penjah,G,P,64.5,207,7.4,15.4,9.6,0,0.114,0.219,0.0059,0.683,0.117,0.0005,0.0002,0,0.014
GP074,"Model, masakan",G,P,83.9,79,2.2,4,8.6,0,0.008,0.033,0.0008,0.147,0.034,0.0001,0.0002,0,0
GP075,"Mujahir acar kuning, masakan",G,P,43.1,330,17.8,23.4,12.1,1.1,0.154,0.357,0.0053,0,0,0,0,0,0
GP076,"Parede baleh, masakan",G,P,80,87,10.5,2.5,5.5,0,0.035,0.215,0.0009,0.416,0.059,0.0001,0.0002,0,0
GP077,"Pempek adaan, masakan",G,P,62.6,162,4.9,3,27.8,0,0.026,0.116,0.001,0.488,0.119,0.0001,0.0003,0,0
GP078,"Pempek belida, masakan",G,P,61.4,156,4.2,1.4,31.6,0.2,0.1,0.055,0.0033,0,0,0,0,0,0
GP079,"Pempek kapal selam, masakan",G,P,63.4,152,4.5,2.3,28.2,0,0.019,0.115,0.0016,0.628,0.091,0.0001,0.0002,0,0
GP080,"Pempek kelesan, masakan",G,P,53,211,12.3,6.1,26.6,0.4,0.84,0.176,0.0018,0,0,0,0.0003,0,0
GP081,"Pempek kulit, masakan",G,P,45.7,243,5.2,7.3,39.1,0,0.016,0.096,0.002,0.555,0.102,0.0001,0.0002,0,0
GP082,"Pempek telur, masakan",G,P,62.4,156,4.7,2.7,28.3,0,0.013,0.083,0.0013,0.448,0.048,0.0001,0.0002,0.0001,0
GP083,"Pempek tenggiri, masakan",G,P,56.3,173,7.2,1.2,33.4,0.2,0.164,0.08,0.0031,0,0,0,0,0,0
GP084,"Pencok lele, masakan",G,P,47.5,372,7.8,36.3,3.5,0,0.289,0.295,0.0053,0,0,0,0.0001,0,0
GP085,Pinda,G,P,71,107,15.9,0.6,0.4,0,0.375,0.336,0.0019,0.526,0.33,0.0002,0.0009,0.0001,0
GP086,"Pindang kenari, masakan",G,P,80.1,124,9.5,9.6,0,0,0.12,0.22,0.0013,0.37,0.27,0.0003,0,0,0.0001
GP087,"Saboko gurita, masakan",G,P,76.2,87,15.7,1.5,2.6,0,0.06,0.014,0.0021,0.2,0.18,0.0009,0,0,0
GP088,"Saboko saltan, masakan",G,P,76,113,17.1,3.6,3,0,0.24,0.06,0.0005,0.04,0.35,0.0002,0,0,0
GP089,"Saboko sardin, masakan",G,P,70,110,12.9,4.3,4.9,0,0.22,0.52,0.006,0.2,0.28,0.0002,0,0,0
GP090,Sate Bandeng,G,P,47.1,283,12.1,16.8,20.9,2,0.118,0.186,0.0012,0.543,0.199,0.0002,0,0,0
GP091,"Sepi, masakan",G,P,66.1,88,7.9,1.6,10.6,0,0.924,0.35,0.0023,0.873,0.258,0.001,0,0,0
GP092,"Tekwan, masakan",G,P,86.7,53,1.9,0.9,9.4,0,0.009,0.041,0.001,0.174,0.042,0,0.0001,0,0
GP093,"Teri belado, masakan",G,P,25.8,365,23.7,22.3,17.5,0,0.869,0.348,0.004,0,0,0,0.0001,0,0
GP094,"Tumis bandeng, masakan",G,P,70.5,189,11.3,15.7,0.6,0,0.056,0.129,0.0004,0.314,0.28,0.0001,0.0005,0,0
GP095,Tumis keumamah,G,P,45.7,300,14.5,20,15.5,4.5,0,0,0,0,0,0,0.0006,0,0.007
HR001,"Telur ayam kampung, segar",H,R,73.1,174,10.8,14,1.2,0,0.068,0.268,0.0049,0.19,0.141,0.0006,0.0008,0.0006,0
HR002,"Telur ayam ras, segar",H,R,74.3,154,12.4,10.8,0.7,0,0.086,0.258,0.003,0.142,0.1185,0.0002,0.0001,0.0004,0
HR003,"Telur ayam ras, bagian kuning, segar",H,R,49.4,355,16.3,31.9,0.7,0,0.147,0.586,0.0072,0.111,0.1075,0.0002,0.0003,0.0005,0
HR004,"Telur Ayam ras, bagian putih, segar",H,R,87.8,50,10.8,0,0.8,0,0.006,0.017,0.0002,0.164,0.1385,0,0,0.0003,0
HR005,"Telur bebek alabio, segar",H,R,70,187,11.8,14.2,3,0,0.06,0.268,0.006,0.115,0.08,0.0006,0.0016,0.0004,0
HR006,"Telur bebek, bagian  kuning, segar",H,R,47,386,17,35,0.8,0,0.15,0.4,0.007,0.106,0.0907,0.0001,0.0006,0.0007,0
HR007,"Telur bebek, bagian putih, segar",H,R,88,54,11,0,0.8,0,0.021,0.02,0.0001,0.184,0.1502,0.0001,0,0,0
HR008,"Telur bebek tambak, segar",H,R,67.7,187,10.9,12.4,7.9,0,0.064,0.295,0.0054,0.209,0.146,0.0004,0.0016,0,0
HR009,"Telur burung maleo, segar",H,R,36,436,26.5,36.3,0.4,0,0.154,0.12,0.0043,0.077,0.333,0.0004,0,0.001,0
HR010,"Telur penyu, segar",H,R,7.4,136,8.6,10.1,2.7,0,0.066,0.282,0.0034,0.478,0.115,0.0005,0.0002,0,0
HR011,"Telur burung puyuh, segar",H,R,79.8,116,10.7,7,1.6,0,0.065,0.191,0.0035,0.111,0.011,0.0001,0.0001,0.0007,0
HP001,"Telur ayam, dadar, masakan",H,P,61.9,251,16.3,19.4,1.4,0,0.062,0.25,0.0025,0,0,0,0.0002,0,0
HP002,"Telur bebek, asin, mentah",H,P,66.5,179,13.6,13.3,4.4,0,0.12,0.157,0.0018,0.483,0.1401,0,0.0003,0.001,0
HP003,"Telur bebek, dadar, masakan",H,P,55.1,301,20,23.7,0,0,0.071,0.6,0.0092,0,0,0,0.0004,0,0
HP004,"Ikan, telur, asin, mentah",H,P,37.8,358,20.7,26.4,9.4,0,0.048,0.311,0.0151,2.684,0.059,0.0004,0.0002,0.0005,0
HP005,"Bayau mi balu, masakan",H,P,36.1,313,6,12.2,44.8,0,0,0,0,0,0,0,0.0001,0.0003,0
HP006,"Cucuru bayau, masakan",H,P,35,349,6.8,18.7,38.3,0,0,0,0,0,0,0,0.0001,0.0003,0
HP007,"Kalio telur, masakan",H,P,79,193,10.6,12.4,9.7,0,0.148,0.246,0.0038,0.54,0,0,0.0004,0,0
JR001,"Kepala susu - krim, segar",J,R,72.5,204,2.6,20,4,0,0.097,0.077,0.0001,0,0,0,0,0.0002,0.001
JR002,Susu ibu - ASI,J,R,88.1,62,1.5,3.2,7,0,0.034,0.02,0.0002,0.015,0.041,0,0,0,0
JR003,"Susu kambing, segar",J,R,85.9,64,4.3,2.3,6.6,0,0.098,0.078,0.0027,0.035,0.16,0.0003,0.0001,0.0005,0.001
JR004,"Susu kerbau, segar",J,R,73.8,160,6.3,12,7.1,0,0.216,0.101,0.0002,0.082,0,0,0,0.0001,0.001
JR005,"Susu kuda, segar",J,R,91,40,2,1.1,5.4,0,0,0,0,0,0.0374,0,0,0.0002,0
JR006,"Susu sapi, segar",J,R,88.3,61,3.2,3.5,4.3,0,0.143,0.06,0.0017,0.036,0.149,0,0,0.0002,0.001
JP001,Es krim,J,P,62.1,210,4,12.5,20.6,0,0.123,0.099,0.0001,0.078,0.1934,0,0,0.0002,0.001
JP002,Hangop,J,P,84,65,10,1,3.5,0,0.18,0.19,0.0002,0.126,0.3744,0,0,0.0004,0
JP003,Keju,J,P,38.5,326,22.8,20.3,13.1,0,0.777,0.338,0.0015,1.41,0.0827,0,0,0.0004,0.001
JP004,Kwark (Quark),J,P,59,242,19,17,3,0,0.3,0.35,0.0005,0.037,0.0727,0,0,0.0004,0
JP005,"Susu asam untuk bayi, bubuk",J,P,2.5,418,19,9,65.5,0,0.8,0.6,0.007,0.188,0.4865,0,0.001,0.0013,0.03
JP006,Susu bubuk,J,P,3.5,513,24.6,30,36.2,0,0.904,0.694,0.0006,0.38,1.33,0,0.0003,0.0014,0.006
JP007,Susu kental manis,J,P,25,343,8.2,10,55,0,0.275,0.209,0.0002,0.15,0.32,0,0.0001,0.0004,0.001
JP008,Susu kental tak manis,J,P,73.7,138,7,7.9,9.9,0,0.243,0.195,0.0002,0.14,0.303,0,0.0001,0,0.001
JP009,"Susu skim, bubuk",J,P,3.5,359,35.6,1,52,0,1.3,1.03,0.0006,0.47,1.745,0,0.0004,0.0011,0.007
JP010,"Susu skim, segar",J,P,90.5,36,3.5,0.1,5.1,0,0.123,0.097,0.0001,0.038,0,0,0,0,0.001
JP011,"Yoghurt, segar",J,P,88,52,3.3,2.5,4,0,0.12,0.09,0.0001,0.04,0.299,0,0,0.0001,0
KR001,"Kelapa setengah tua, daging, segar",K,R,70,180,4,15,10,2.4,0.008,0.055,0.0013,0.004,0.3177,0.0003,0.0001,0,0.004
KR002,"Kelapa tua, daging, segar",K,R,46.9,359,3.4,34.7,14,4.7,0.021,0.098,0.002,0.003,0.2939,0.0004,0.0001,0,0.002
KR003,Lemak babi (lard),K,R,0,902,0,100,0,0,0,0,0,0,0,0.009,0,0,0
KR004,Lemak babi (bacon),K,R,20,626,9.1,65,1.1,0,0.013,0.108,0.0008,0,0,0,0.0004,0,0
KR005,Lemak ikan,K,R,43.3,372,12,29.4,14.4,0,0.02,0.23,0.0327,0.06,0.052,0.0004,0.0005,0.0001,0
KR006,Lemak kerbau (lemak sapi),K,R,5,818,1.5,90,0,0,0,0,0,0.029,0.0258,0,0,0,0
KR007,"Minyak hiu, hati",K,R,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR008,Minyak ikan,K,R,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR009,Minyak kacang tanah,K,R,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR010,Minyak kedelai,K,R,0.1,883,0,99.9,0,0,0,0,0,0,0.0001,0,0,0,0
KR011,Minyak kelapa,K,R,0,870,1,98,0,0,0,0,0,0,0,0,0,0,0
KR012,Minyak kelapa sawit,K,R,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0
KR013,Minyak wijen,K,R,0.1,881,0.2,99.7,0,0,0.01,0.005,0.0001,0.002,0.02,0,0,0.0001,0
KR014,Minyak zaitun,K,R,0,884,0,100,0,0,0.014,0,0.0012,0.007,0,0,0,0,0
OLAHAN/PRODUK/KOMPOSIT,0,O,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP001,Margarin,K,P,15.5,720,0.6,81,0.4,0,0.02,0.016,0,0.76,0.0259,0,0,0,0
KP002,Mentega,K,P,16,742,0.5,81.6,1.4,0,0.015,0.016,0.0011,0.653,0.103,0,0,0.0001,0
KP003,Santan (dengan air),K,P,80,122,2,10,7.6,1.4,0.025,0.03,0.0001,0.009,0.1624,0.0002,0,0,0.002
KP004,Santan murni,K,P,54.9,324,4.2,34.3,5.6,0,0.014,0.045,0.0019,0.018,0.5141,0.0004,0,0,0.002
MP001,"Coklat manis, batang",M,P,1.4,527,2,29.8,62.7,6.5,0.063,0.287,0.0028,0.006,0.4995,0,0,0,0
MP002,"Coklat pahit,batang",M,P,2.3,615,5.5,42.6,29.2,10.8,0.098,0.446,0.0044,0.02,0.7083,0.0017,0.0001,0.0001,0
MP003,"Coklat susu, batang",M,P,1,565,9,35,53.6,3.4,0.2,0.2,0.002,0.1,0.4055,0.0005,0.0001,0.0005,0
MP004,Coklat bubuk,M,P,3.9,311,8,4,48.9,32.6,0.125,0.715,0.0116,0,0,0,0.0001,0,0
MP005,Gula aren,M,P,7,368,0,0,92,0,0.075,0.035,0.003,0.015,0.3904,0,0,0,0
MP006,Gula kelapa,M,P,10,386,3,10,76,0,0.076,0.037,0.0026,0.002,0,0,0,0.0003,0
MP007,Gula putih,M,P,5.4,394,0,0,94,0,0.005,0.001,0.0001,0.001,0.0048,0,0,0,0
MP008,"Jam, selai",M,P,34,239,0.5,0.6,64.5,1,0.02,0.02,0.001,0.03,0.0731,0.0001,0,0.0001,0
MP009,Kopi bubuk instant,M,P,2.6,129,12.3,0.5,35,0,0.179,0.383,0.0056,0.072,3.256,0.0001,0,0.0002,0
MP010,Madu,M,P,20,294,0.3,0,79.5,0.2,0.005,0.016,0.0009,0.006,0.0269,0,0,0,0.004
MP011,Markisa squash,M,P,46.7,217,2.5,1,49.6,0,0.006,0.083,0.0006,0.014,0.065,0,0.0001,0,0.014
MP012,"Markisa squash, BD",M,P,74.4,104,1.2,0.5,23.7,0,0.001,0.088,0.0005,0.04,0.04,0,0.0002,0,0.012
MP013,Melase,M,P,21.2,276,0,0.1,71,0,0.006,0.083,0.0006,0.014,0,0,0,0,0
MP014,Sirup,M,P,44,213,0,0,55,0,0,0,0,0.003,0.0042,0,0,0,0
MP015,Sirup pirous,M,P,43.3,228,0.2,0.4,55.9,0,0.47,0.093,0.0295,0.003,0.0042,0,0,0,0.008
MP016,Teh hijau daun kering,M,P,7.7,300,28.3,4.8,53.6,9.6,0.245,0.415,0.0189,0.06,5.8739,0.0005,0.0004,0.0012,0.023
MP017,Teh hitam daun kering,M,P,8,293,24.5,2.8,58.8,8.7,0.327,0.313,0.0243,0.05,5.8548,0,0.0001,0.0008,0.009
MP018,Teh melati daun kering,M,P,8.1,299,24.1,3.5,59,9.7,0.32,0.185,0.0316,0.07,5.8484,0.0005,0.0001,0.0008,0.085
NR001,"Asam arang coklat, segar",N,R,66.1,130,0.5,1.1,30.9,1.5,0.079,0.113,0.0043,0.013,0,0,0,0.0002,0
NR002,"Asam arang merah, segar",N,R,75.9,99,0.8,1.6,20.3,2.8,0.069,0.3,0.0046,0.002,0.096,0,0,0.0003,0
NR003,"Asan kandis, kering",N,R,32.2,261,0.9,1.6,63.3,5,0.192,0.657,0.0044,0.026,0.341,0.0004,0,0,0
NR004,"Asam kandis, segar",N,R,81.5,75,0.2,1.1,16.1,3.4,0.063,0.139,0.0025,0.093,0.093,0.0001,0,0,0
NR005,"Asam masak pohon, segar",N,R,31.4,267,2.8,0.6,62.5,1.2,0.074,0.113,0.0006,0.009,0.139,0.0001,0.0003,0,0.002
NR006,"Asam payak, segar",N,R,65.1,135,0.8,0.4,32.1,10,0.06,0.039,0.0057,0,0,0,0,0,0
NR007,"Bawang merah, segar",N,R,88,46,1.5,0.3,9.2,1.7,0.036,0.04,0.0008,0.007,0.179,0.0001,0,0,0.002
NR008,"Bawang putih, segar",N,R,71,112,4.5,0.2,23.1,0.6,0.042,0.134,0.001,0.046,0.666,0.0001,0.0002,0.0001,0.015
NR009,"Boros kunci, segar",N,R,90,40,1,0.8,7.2,1,0.05,0.05,0.002,0.033,0.48,0,0.0001,0.0007,0.05
NR010,"Boros laja (lengkuas), segar",N,R,93,26,1,0.3,4.7,1.1,0.05,0.05,0.002,0.024,0.137,0.0001,0.0001,0.0001,0.05
NR011,"Cabai gembor merah, segar",N,R,90.8,38,1.6,0.8,6.3,1.6,0.049,0.041,0.0011,0.007,0.275,0.0001,0.0002,0.0001,0.016
NR012,"Cabai hijau, segar",N,R,93.4,26,0.7,0.3,5.2,2.6,0.014,0.023,0.0004,0.007,0.151,0.0001,0.0001,0.0001,0.084
NR013,"Cabai merah, kering",N,R,10,367,15.9,6.2,61.8,26.9,0.16,0.37,0.0023,0.025,0.1815,0.0012,0.0004,0.0014,0.05
NR014,"Cabai merah, segar",N,R,90.9,36,1,0.3,7.3,1.4,0.029,0.024,0.0005,0.023,0.2724,0.0001,0.0001,0.0001,0.018
NR015,"Cabai rawit, segar",N,R,71.2,120,4.7,2.4,19.9,15.2,0.045,0.085,0.0025,0.034,0.7062,0.0003,0.0002,0.0001,0.07
NR016,"Cengkeh, kering",N,R,23.3,330,5.2,8.9,57.4,10,0.74,0.1,0.0049,0.282,0.961,0.0003,0.2,0,0
NR017,"Daun salam, bubuk",N,R,13.1,301,14.2,10.9,49,9.4,0.086,0.25,0.0441,0.18,0.619,0.0013,0.0001,0.0003,0
NR018,"Jahe, segar",N,R,55,51,1.5,1,10.1,12,0.021,0.039,0.0016,0.012,0.4417,0.0005,0,0.0002,0.004
NR019,Kemiri,N,R,7,675,19,63,8,3,0.08,0.2,0.002,0.025,0.4307,0.0002,0.0001,0.0001,0
NR020,"Ketumbar, kering",N,R,11.2,418,14.1,16.1,54.2,12.3,0.63,0.37,0.0179,0.091,1.787,0.001,0.0002,0.0004,0
NR021,Kluwek,N,R,51,310,10,24,13.5,0,0.04,0.1,0.002,0,0,0,0.0002,0,0.03
NR022,"Kunyit, segar",N,R,84.9,69,2,2.7,9.1,0.6,0.024,0.078,0.0033,0.006,0.4067,0.0001,0,0,0.001
NR023,"Merica, kering",N,R,12.9,365,11.5,6.8,64.4,1,0.46,0.2,0.0164,0.004,0.0997,0.0009,0.0002,0.0001,0
NR024,"Pala, biji, kering",N,R,14.3,518,7.5,36.4,40.1,3.5,0.12,0.24,0.0046,0.002,0.0787,0.0009,0.0002,0,0
NP001,Balichong,N,P,59.9,152,13.2,0.8,22.9,1.5,0.38,0.21,0.0029,0.12,0.31,0.0008,0,0.0001,0
NP002,Bekasam,N,P,65.5,116,11.9,4.9,6.1,3.5,0.704,0.757,0.0075,0.711,0.176,0.0008,0,0,0
NP003,Bekasang,N,P,67.1,78,11.4,2,3.6,0.4,0.054,0.097,0.0026,4.016,0.121,0.0002,0.0002,0.0001,0
NP004,Cuka,N,P,94.5,21,0.1,0.1,5,0,0.007,0.01,0.0005,0.021,0.0378,0,0.0002,0,0
NP005,Kecap,N,P,63,71,5.7,1.3,9,0,0.123,0.096,0.0057,1.114,0,0,0,0,0
NP006,Petis ikan,N,P,56,165,20,0.2,20.8,0,0.037,0.036,0.0028,0,0,0,0,0.0002,0
NP007,Petis udang kering,N,P,8.3,345,23.8,1.4,59.3,0,0.221,0.397,0.0038,1.199,0.4628,0.0008,0.001,0.0004,0
